tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0096775,Agneekaal,,,,1990.0,161.0,"Action,Crime,Drama",5.1,35
tt0096786,Alienator,,,,1990.0,93.0,"Action,Drama,Fantasy",3.2,1780
tt0096797,Malù e l'amante,,,,1991.0,104.0,Drama,5.5,92
tt0096811,Fatal Vacation,,,,1990.0,96.0,"Action,Crime,Drama",6.3,230
tt0096817,Angels,,,,1990.0,95.0,"Action,Drama",5.8,29
tt0096825,"Any Time, Any Play",,,,1990.0,96.0,"Crime,Drama",3.4,53
tt0096830,Aquí huele a muerto... (¡pues yo no he sido!),,,,1990.0,88.0,"Comedy,Horror",3.9,385
tt0096837,The Assassin,,,,1990.0,91.0,Action,4.6,85
tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,,,,1990.0,80.0,"Comedy,Drama",6.2,61
tt0096857,L'Autrichienne,,,,1990.0,98.0,"Biography,Drama,History",6.0,121
tt0096858,Avariya - doch menta,,,,1990.0,99.0,Drama,6.6,510
tt0096859,L'avaro,,,,1990.0,117.0,Comedy,6.0,351
tt0096860,Extraordinary Adventure of an Ordinary Papa,,,,1990.0,98.0,"Adventure,Comedy",3.2,36
tt0096871,Baby Blood,,,,1990.0,88.0,Horror,6.0,2190
tt0096875,Catchfire,,Jodie Foster,,1990.0,116.0,"Action,Comedy,Crime",5.3,4312
tt0096877,Countdown to Esmeralda Bay,,,,1990.0,90.0,"Action,Drama,War",3.6,144
tt0096879,Bal na dworcu w Koluszkach,,,,1990.0,91.0,"Comedy,Drama",5.8,43
tt0096910,Ben Webster: The Brute and the Beautiful,,,,1990.0,60.0,Documentary,4.9,20
tt0096937,Blagorodnyy razboynik Vladimir Dubrovskiy,,,,1990.0,104.0,"Drama,History",6.7,109
tt0096954,Bloodmoon,,,,1990.0,100.0,"Horror,Thriller",4.5,585
tt0096984,Brodyachiy avtobus,,,,1990.0,98.0,Drama,6.7,32
tt0096992,Bumazhnye glaza Prishvina,,,,1990.0,146.0,Drama,6.8,30
tt0096995,Burndown,,,,1990.0,86.0,Thriller,3.5,142
tt0097004,Caged Fury,,,,1990.0,95.0,Action,3.9,1090
tt0097049,"Chastnyy detektiv, ili operatsiya 'Kooperatsiya'",,,,1990.0,94.0,"Comedy,Crime,Drama",5.3,529
tt0097062,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",,,,1990.0,139.0,"Comedy,Romance",7.2,732
tt0097066,Citizen Tania,,,,1997.0,87.0,"Crime,Drama",7.6,33
tt0097079,Cold Justice,,,,1991.0,105.0,Drama,5.8,83
tt0097106,A Tale of Springtime,,,,1990.0,108.0,"Comedy,Drama,Romance",7.1,5444
tt0097111,"Go to Work, Vagabond II",,,,1991.0,97.0,Comedy,6.3,46
tt0097115,Courage Mountain,,,,1990.0,94.0,"Adventure,Drama,Family",5.7,899
tt0097122,Um Crime de Luxo,,,,1991.0,87.0,"Comedy,Crime,Romance",6.6,10
tt0097129,Crossing the Line,,,,1990.0,94.0,"Action,Drama,Sport",5.0,128
tt0097140,Cézanne - Conversation with Joachim Gasquet,,,,1990.0,52.0,Documentary,6.5,114
tt0097176,Deceit,,,,1990.0,90.0,"Comedy,Sci-Fi",5.0,755
tt0097184,Demonstone,,,,1990.0,88.0,"Action,Crime,Fantasy",4.7,210
tt0097204,Dilemma,,,,1990.0,97.0,Crime,4.3,31
tt0097253,Deja vu,,,,1990.0,108.0,"Comedy,Crime,History",7.5,1484
tt0097259,Easy Kill,,,,1990.0,89.0,"Action,Crime,Thriller",3.9,109
tt0097298,Eternity,,,,1990.0,110.0,Drama,2.7,187
tt0097304,Everything's for You,,,,2009.0,58.0,Documentary,7.0,16
tt0097318,Eye of the Widow,,,,1991.0,95.0,"Action,Adventure,Crime",3.8,99
tt0097339,Father,,,,1990.0,100.0,"Drama,War",7.0,176
tt0097348,The Unmatchable Match,,,,1990.0,98.0,"Action,Crime,Drama",6.2,371
